date,STATE,CONSUMPTION
2001-01-01,AK,4113880.0
2001-02-01,AK,3909862.0
2001-03-01,AK,4131398.0
2001-04-01,AK,3302305.0
2001-05-01,AK,3174168.0
2001-06-01,AK,3333060.0
2001-07-01,AK,3682891.0
2001-08-01,AK,4086074.0
2001-09-01,AK,3709204.0
2001-10-01,AK,3946505.0
2001-11-01,AK,3821731.0
2001-12-01,AK,4121117.0
2002-01-01,AK,3804141.0
2002-02-01,AK,3282219.0
2002-03-01,AK,3688296.0
2002-04-01,AK,3485237.0
2002-05-01,AK,3371989.0
2002-06-01,AK,3425520.0
2002-07-01,AK,3800771.0
2002-08-01,AK,3521517.0
2002-09-01,AK,3632876.0
2002-10-01,AK,3886159.0
2002-11-01,AK,3556044.0
2002-12-01,AK,4158802.0
2003-01-01,AK,3761667.0
2003-02-01,AK,3329722.0
2003-03-01,AK,3226721.0
2003-04-01,AK,2928337.0
2003-05-01,AK,2846322.0
2003-06-01,AK,3090566.0
2003-07-01,AK,3239857.0
2003-08-01,AK,3033224.0
2003-09-01,AK,3001393.0
2003-10-01,AK,3249122.0
2003-11-01,AK,3384679.0
2003-12-01,AK,3827943.0
2004-01-01,AK,4083872.4699999997
2004-02-01,AK,3648835.07
2004-03-01,AK,3103859.99
2004-04-01,AK,2849011.0700000003
2004-05-01,AK,3291913.95
2004-06-01,AK,3596149.08
2004-07-01,AK,3673734.2
2004-08-01,AK,3264202.8899999997
2004-09-01,AK,3263653.35
2004-10-01,AK,2999268.2399999998
2004-11-01,AK,3221985.4400000004
2004-12-01,AK,4065469.31
2005-01-01,AK,3757584.1399999997
2005-02-01,AK,3229336.4499999997
2005-03-01,AK,3348502.59
2005-04-01,AK,3015508.6399999997
2005-05-01,AK,3046561.37
2005-06-01,AK,3279762.4699999997
2005-07-01,AK,3885109.39
2005-08-01,AK,4190821.3
2005-09-01,AK,3439286.6
2005-10-01,AK,3764327.16
2005-11-01,AK,3694643.02
2005-12-01,AK,4070494.1
2006-01-01,AK,4122374.5100000002
2006-02-01,AK,3629890.9099999997
2006-03-01,AK,3809143.4099999997
2006-04-01,AK,3411852.46
2006-05-01,AK,3553197.2800000003
2006-06-01,AK,3882725.45
2006-07-01,AK,4119058.4299999997
2006-08-01,AK,4061421.13
2006-09-01,AK,3470773.9
2006-10-01,AK,3869307.7199999997
2006-11-01,AK,4207446.03
2006-12-01,AK,4276203.3
2001-01-01,AL,8519043.0
2001-02-01,AL,6545035.0
2001-03-01,AL,8444743.0
2001-04-01,AL,7713197.0
2001-05-01,AL,9259282.0
2001-06-01,AL,11315715.0
2001-07-01,AL,13126548.0
2001-08-01,AL,14405236.0
2001-09-01,AL,11728002.0
2001-10-01,AL,12370340.0
2001-11-01,AL,10982240.0
2001-12-01,AL,10942344.0
2002-01-01,AL,13245460.0
2002-02-01,AL,11682727.0
2002-03-01,AL,10883523.0
2002-04-01,AL,11056724.0
2002-05-01,AL,11813815.0
2002-06-01,AL,17297975.0
2002-07-01,AL,20331477.0
2002-08-01,AL,21035099.0
2002-09-01,AL,16688372.0
2002-10-01,AL,11860724.0
2002-11-01,AL,9960899.0
2002-12-01,AL,9986113.0
2003-01-01,AL,13879540.0
2003-02-01,AL,9109509.0
2003-03-01,AL,7802690.0
2003-04-01,AL,9385681.0
2003-05-01,AL,8562682.0
2003-06-01,AL,13501580.0
2003-07-01,AL,17786913.0
2003-08-01,AL,22077404.0
2003-09-01,AL,11397145.0
2003-10-01,AL,6836042.0
2003-11-01,AL,7553631.0
2003-12-01,AL,9828572.0
2004-01-01,AL,12627271.31
2004-02-01,AL,11441402.9
2004-03-01,AL,11855253.110000001
2004-04-01,AL,11430411.110000001
2004-05-01,AL,13876367.809999999
2004-06-01,AL,15376832.270000001
2004-07-01,AL,21696866.599999998
2004-08-01,AL,18666052.83
2004-09-01,AL,13246563.690000001
2004-10-01,AL,11029453.610000001
2004-11-01,AL,8468790.25
2004-12-01,AL,10359473.94
2005-01-01,AL,9952091.739999998
2005-02-01,AL,7722784.61
2005-03-01,AL,10070896.22
2005-04-01,AL,7155521.299999999
2005-05-01,AL,10063431.13
2005-06-01,AL,15681449.77
2005-07-01,AL,19900909.09
2005-08-01,AL,21647284.09
2005-09-01,AL,13370697.49
2005-10-01,AL,9194507.62
2005-11-01,AL,9860865.620000001
2005-12-01,AL,13424272.15
2006-01-01,AL,7163835.63
2006-02-01,AL,8241567.04
2006-03-01,AL,10908585.15
2006-04-01,AL,12177092.49
2006-05-01,AL,15225861.26
2006-06-01,AL,22783651.77
2006-07-01,AL,29084363.580000002
2006-08-01,AL,30253038.09
2006-09-01,AL,15053645.21
2006-10-01,AL,14168613.719999999
2006-11-01,AL,11137297.400000002
2006-12-01,AL,11707529.03
2001-01-01,AR,3625487.0
2001-02-01,AR,1743974.0
2001-03-01,AR,2476917.0
2001-04-01,AR,3968164.0
2001-05-01,AR,3220969.0
2001-06-01,AR,3153775.0
2001-07-01,AR,5651778.0
2001-08-01,AR,5987198.0
2001-09-01,AR,4337299.0
2001-10-01,AR,4042787.0
2001-11-01,AR,3301162.0
2001-12-01,AR,3167182.0
2002-01-01,AR,2996013.0
2002-02-01,AR,3069203.0
2002-03-01,AR,2747832.0
2002-04-01,AR,3968213.0
2002-05-01,AR,3603967.0
2002-06-01,AR,6471330.0
2002-07-01,AR,9800905.0
2002-08-01,AR,7870321.0
2002-09-01,AR,6585055.0
2002-10-01,AR,4875156.0
2002-11-01,AR,2809832.0
2002-12-01,AR,2544972.0
2003-01-01,AR,3488076.0
2003-02-01,AR,3906018.0
2003-03-01,AR,3094584.0
2003-04-01,AR,3820655.0
2003-05-01,AR,5889469.0
2003-06-01,AR,8032995.0
2003-07-01,AR,10156871.0
2003-08-01,AR,10260616.0
2003-09-01,AR,6323589.0
2003-10-01,AR,5185591.0
2003-11-01,AR,4543297.0
2003-12-01,AR,3290861.0
2004-01-01,AR,3357652.6399999997
2004-02-01,AR,3775178.48
2004-03-01,AR,3247878.58
2004-04-01,AR,2699431.05
2004-05-01,AR,4962336.0
2004-06-01,AR,5984977.890000001
2004-07-01,AR,6672508.069999999
2004-08-01,AR,6179481.109999999
2004-09-01,AR,3732316.96
2004-10-01,AR,4517772.75
2004-11-01,AR,2484140.07
2004-12-01,AR,2548634.19
2005-01-01,AR,2641591.29
2005-02-01,AR,2367354.24
2005-03-01,AR,3155506.7
2005-04-01,AR,2917461.41
2005-05-01,AR,4908628.91
2005-06-01,AR,7007799.97
2005-07-01,AR,8923373.68
2005-08-01,AR,9082397.54
2005-09-01,AR,5159284.7299999995
2005-10-01,AR,4140373.81
2005-11-01,AR,3747332.88
2005-12-01,AR,3556779.4
2006-01-01,AR,2555734.9000000004
2006-02-01,AR,3209011.64
2006-03-01,AR,3426327.42
2006-04-01,AR,6228267.640000001
2006-05-01,AR,8644519.08
2006-06-01,AR,10998781.459999999
2006-07-01,AR,11757174.700000001
2006-08-01,AR,12253422.81
2006-09-01,AR,8844802.299999999
2006-10-01,AR,7241844.82
2006-11-01,AR,2837803.41
2006-12-01,AR,3491263.66
2001-01-01,AZ,9224064.0
2001-02-01,AZ,11791633.0
2001-03-01,AZ,12295095.0
2001-04-01,AZ,13536774.0
2001-05-01,AZ,16792291.0
2001-06-01,AZ,14357021.0
2001-07-01,AZ,15444510.0
2001-08-01,AZ,14177427.0
2001-09-01,AZ,11746237.0
2001-10-01,AZ,11602642.0
2001-11-01,AZ,8460437.0
2001-12-01,AZ,10525787.0
2002-01-01,AZ,8049962.0
2002-02-01,AZ,9272479.0
2002-03-01,AZ,10616097.0
2002-04-01,AZ,9525584.0
2002-05-01,AZ,10886227.0
2002-06-01,AZ,14180285.0
2002-07-01,AZ,21024591.0
2002-08-01,AZ,19608084.0
2002-09-01,AZ,18475781.0
2002-10-01,AZ,15997665.0
2002-11-01,AZ,13254468.0
2002-12-01,AZ,13962924.0
2003-01-01,AZ,9740952.0
2003-02-01,AZ,10602072.0
2003-03-01,AZ,13309682.0
2003-04-01,AZ,11092033.0
2003-05-01,AZ,10314576.0
2003-06-01,AZ,13851932.0
2003-07-01,AZ,26559452.0
2003-08-01,AZ,28566673.0
